Strain Name, Gram, Eighth, Quad, Half, Ounce, Dispensary, Location,Blueberry,13,45,90,160,320,Ketama,San Francisco
The White,17,50,90,175,320,Grass Roots Collective,San Francisco
The White,12,40,80,160,320,The Cookie Co. 415,San Francisco
The White,,45,85,165,320,Grasshopper SF,San Francisco
Candy Jack,16,47,92,180,330,Green Door San Francisco,San Francisco
Candy Jack,20,50,95,190,350,SFFOGG,San Francisco
Candy Jack,15,50,95,170,340,Ketama,San Francisco
Candy Jack,15,50,95,170,340,Ketama,San Francisco
Candy Jack,15,50,95,170,340,Ketama,San Francisco
Candy Jack,15,45,90,160,320,1944 Ocean Cooperative - San Francisco,San Francisco
Candy Jack,14,45,88,170,330,Blum Oakland,Oakland
Candy Jack,12,42,,,,First Hemp Bank,Oakland
Candy Jack,15,45,80,,,All Natural Delivers,San Francisco
candyland,16,47,92,180,330,Green Door San Francisco,San Francisco
candyland,12,44,,,,Igzactly 420,San Francisco
candyland,15,50,95,170,340,Ketama,San Francisco
candyland,10,35,70,135,265,LoveShack,San Francisco
candyland,12,42,,,,First Hemp Bank,Oakland
candyland,,45,90,180,360,Quil Delivery,San Francisco
candyland,16,49,,,,Posh Green Collective,San Francisco
candyland,,40,,,250,Potshots Delivery Service Inc,San Francisco
candyland,,55,100,180,320,Foggy Daze Organic Delivery Service,San Francisco
candyland,,45,81,153,270,Shareones,San Francisco
candyland,35,,,,,Kayafornia Delivery,Oakland
candyland,,40,80,140,240,Indigo - Oakland,Oakland
Raspberry Cough,12,35,63,,,Cosmic Courier - Oakland,Oakland
Kosher Kush,,45,81,153,270,Shareones,San Francisco
Cannatonic,,40,80,130,220,Buena Leaf,Daly City
Black Cherry Soda,30,,,,,Flow Kana,Oakland
Double Dream,15,43,82,160,300,Purple Star MD,San Francisco
Platinum Girl Scout Cookies,15,43,82,160,300,Purple Star MD,San Francisco
Platinum Girl Scout Cookies,18,50,95,190,350,Lifted Health and Wellness,San Francisco
Platinum Girl Scout Cookies,,49,95,180,330,Posh Green Collective,San Francisco
Platinum Girl Scout Cookies,,50,95,,,INDIKA MCC,Daly City
Platinum Girl Scout Cookies,14,49,95,185,,True Healing Collective - Oakland,Oakland
afghan kush,13,40,80,140,280,1944 Ocean Cooperative - San Francisco,San Francisco
afghan kush,,25,50,95,180,Healing Light Delivery,San Francisco
afghan kush,18,55,99,,,Cosmic Courier - Oakland,Oakland
afghani,,30,45,,,Budweeder,San Francisco
Animal Cookies,16,47,92,180,330,Green Door San Francisco,San Francisco
Animal Cookies,20,60,110,,375,Bloom Room Collective,San Francisco
Animal Cookies,,45,85,165,,INDIKA MCC,Daly City
Animal Cookies,,50,90,170,320,Cannabicare Collective - Oakland,Oakland
bay 11,,20,,,,First Hemp Bank,Oakland
black jack,,35,65,120,225,Green Door San Francisco,San Francisco
Black mamba,16,58,,,,Igzactly 420,San Francisco
Cherry Ak-47,,40,70,,,Quil Delivery,San Francisco
deadhead og,15,40,75,150,300,Green Cure Delivery,San Francisco
DJ Short Blueberry,15,54,,,,Igzactly 420,San Francisco
hawaiian snow,15,30,60,110,220,Green Sol,Oakland
holy grail kush,15,50,95,185,335,LoveShack,San Francisco
holy grail kush,15,50,95,185,335,LoveShack,San Francisco
jedi kush,13,40,80,140,280,1944 Ocean Cooperative - San Francisco,San Francisco
kosher tangie,14,40,75,140,275,Phytologie Wellness,Oakland
kings kush,30,,,,,Phytologie Wellness,Oakland
lemon G,10,30,60,100,200,1944 Ocean Cooperative - San Francisco,San Francisco
lemon jack,20,50,95,190,350,SFFOGG,San Francisco
lemon jack,15,40,80,160,,Urban Pharm,San Francisco
lemon stomper,12,42,,,,First Hemp Bank,Oakland
mango,14,35,68,130,249,Purple Star MD,San Francisco
